Site,Parameter,SampleDate,Value
Big Glen Lake,Chlorophyll-a,2024-05-02,1.28
Big Glen Lake,Chlorophyll-a,2024-06-11,0.45
Big Glen Lake,Chlorophyll-a,2024-08-01,0.57
Big Glen Lake,Chlorophyll-a,2024-09-10,1.7
Big Glen Lake,Chlorophyll-a,2024-10-03,1.14
Big Glen Lake,Chlorophyll-a,2025-05-09,0.7
Big Glen Lake,Chlorophyll-a,2025-06-05,0.63
Big Glen Lake,Chlorophyll-a,2025-07-02,0.33
Big Glen Lake,Chlorophyll-a,2025-08-07,0.57
Big Glen Lake,Chlorophyll-a,2025-09-10,1.31
Big Glen Lake,Chlorophyll-a,2025-10-02,0.91
Big Glen Lake,Nitrate,1990-07-24,1.0
Big Glen Lake,Nitrate,1990-08-07,1.0
Big Glen Lake,Nitrate,1990-08-29,1.0
Big Glen Lake,Nitrate,1990-09-24,1.0
Big Glen Lake,Nitrate,1990-10-22,7.0
Big Glen Lake,Nitrate,1990-11-14,14.0
Big Glen Lake,Nitrate,1990-12-19,27.0
Big Glen Lake,Nitrate,1991-01-30,32.0
Big Glen Lake,Nitrate,1991-02-19,28.0
Big Glen Lake,Nitrate,1991-03-11,23.0
Big Glen Lake,Nitrate,1991-04-23,9.0
Big Glen Lake,Nitrate,1991-05-13,1.0
Big Glen Lake,Nitrate,1991-05-28,2.0
Big Glen Lake,Nitrate,1991-06-11,2.0
Big Glen Lake,Nitrate,1991-06-24,1.0
Big Glen Lake,Nitrate,1991-07-16,1.0
Big Glen Lake,Nitrate,1992-02-29,40.0
Big Glen Lake,Nitrate,1992-05-06,60.0
Big Glen Lake,Nitrate,1992-06-24,7.0
Big Glen Lake,Nitrate,1992-07-24,10.0
Big Glen Lake,Nitrate,1992-08-06,410.0
Big Glen Lake,Nitrate,1992-08-27,20.0
Big Glen Lake,Nitrate,1992-09-23,10.0
Big Glen Lake,Nitrate,1992-10-21,130.0
Big Glen Lake,Nitrate,1993-01-27,40.0
Big Glen Lake,Nitrate,1993-03-25,60.0
Big Glen Lake,Nitrate,1993-04-27,60.0
Big Glen Lake,Nitrate,1993-06-10,30.0
Big Glen Lake,Nitrate,1993-07-21,80.0
Big Glen Lake,Nitrate,1993-09-16,0.0
Big Glen Lake,Nitrate,1993-11-09,190.0
Big Glen Lake,Nitrate,1994-03-02,740.0
Big Glen Lake,Nitrate,1994-04-30,60.0
Big Glen Lake,Nitrate,1994-06-21,10.0
